title,ratings,imdb_rating,imdb_votes,value,metascore,language,short_plot,poster
Je Suis Karl,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",5.6,"1,624",,,"German, French, English, Arabic, Czech","Maxi, the survivor of a terrorist attack, joins the beguiling student Karl and becomes part of a European youth movement; one that aims for nothing less than seizing power.",https://m.media-amazon.com/images/M/MV5BNjUzNzNiYTMtZGEwZC00ZTY2LWE1MGQtYzAyNzNhNjUxZWMzXkEyXkFqcGc@._V1_SX300.jpg
Confessions of an Invisible Girl,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",5.3,"1,438",,,"Portuguese, English","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",https://m.media-amazon.com/images/M/MV5BZTgwNTFlNzYtNTAwNC00MDdhLWE5OTctYTU2Y2M0NTdiY2QzXkEyXkFqcGc@._V1_SX300.jpg
Crime Stories: India Detectives,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",7.0,"1,190",,,Kannada,Follows major criminal investigations from the time the crime is reported until the suspect gets captured.,https://m.media-amazon.com/images/M/MV5BMjYwYjM0M2QtZjRmMC00OWI1LWFmY2EtNjQzOTIxODFjYmQ2XkEyXkFqcGc@._V1_SX300.jpg
Dear White People,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,,,,Kannada,Follows major criminal investigations from the time the crime is reported until the suspect gets captured.,https://m.media-amazon.com/images/M/MV5BMjYwYjM0M2QtZjRmMC00OWI1LWFmY2EtNjQzOTIxODFjYmQ2XkEyXkFqcGc@._V1_SX300.jpg
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,,,,Kannada,Follows major criminal investigations from the time the crime is reported until the suspect gets captured.,https://m.media-amazon.com/images/M/MV5BMjYwYjM0M2QtZjRmMC00OWI1LWFmY2EtNjQzOTIxODFjYmQ2XkEyXkFqcGc@._V1_SX300.jpg
Falsa identidad,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,,,,Kannada,Follows major criminal investigations from the time the crime is reported until the suspect gets captured.,https://m.media-amazon.com/images/M/MV5BMjYwYjM0M2QtZjRmMC00OWI1LWFmY2EtNjQzOTIxODFjYmQ2XkEyXkFqcGc@._V1_SX300.jpg
Intrusion,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",5.3,"22,287",,39.0,English,"A woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion.",https://m.media-amazon.com/images/M/MV5BYTkxMThmYjctYTI2Yi00MWJhLTk5ZjctMzdhZmI4YzdhOTJjXkEyXkFqcGc@._V1_SX300.jpg
Jaguar,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",5.8,"2,371",,,Spanish,"In the 1960s, Spain became a home to hundreds of survivors of the Mauthausen camp. Isabel, a young Spanish woman, is one of them. She is looking for Skorzeny, Europe's most dangerous man, but she is not alone.",https://m.media-amazon.com/images/M/MV5BMjk2YjQ1YTYtMzQ2NC00NTQ3LWEyMmEtNDZiNjdlNTg1ZDQ5XkEyXkFqcGc@._V1_SX300.jpg
Monsters Inside: The 24 Faces of Billy Milligan,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",6.3,"4,961",,,"English, French","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",https://m.media-amazon.com/images/M/MV5BZDY4MjQ0MWUtZWVlMi00OTM2LThkOTgtNTkwYzZkN2I4ZDExXkEyXkFqcGc@._V1_SX300.jpg
Resurrection: Ertugrul,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,,,,"English, French","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",https://m.media-amazon.com/images/M/MV5BZDY4MjQ0MWUtZWVlMi00OTM2LThkOTgtNTkwYzZkN2I4ZDExXkEyXkFqcGc@._V1_SX300.jpg
Avvai Shanmughi,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,,,,"English, French","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",https://m.media-amazon.com/images/M/MV5BZDY4MjQ0MWUtZWVlMi00OTM2LThkOTgtNTkwYzZkN2I4ZDExXkEyXkFqcGc@._V1_SX300.jpg
Go! Go! Cory Carson: Chrissy Takes the Wheel,[],,65,,,English,"From arcade games to sled days and hiccup cares, Cory Carson's curious little sister Chrissy speeds off on her own for fun and adventure all over town.",https://m.media-amazon.com/images/M/MV5BZjQxMTQ3M2ItZTNiOS00OGVmLWE5NDUtNmQ4MmVjNTllNDcyXkEyXkFqcGc@._V1_SX300.jpg
Jeans,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",6.5,"4,124",,,Tamil,The father of twin brothers wants to get them married to only twin sisters. But one of the brothers falls in love with a woman does not have a twin sister.,https://m.media-amazon.com/images/M/MV5BYjc3ODhlZGMtZmFhOS00NGEwLWI4ZWEtZDhlZjg5MWYxZDBjXkEyXkFqcGc@._V1_SX300.jpg
Love on the Spectrum,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,,,,Tamil,The father of twin brothers wants to get them married to only twin sisters. But one of the brothers falls in love with a woman does not have a twin sister.,https://m.media-amazon.com/images/M/MV5BYjc3ODhlZGMtZmFhOS00NGEwLWI4ZWEtZDhlZjg5MWYxZDBjXkEyXkFqcGc@._V1_SX300.jpg
Minsara Kanavu,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,,,,Tamil,The father of twin brothers wants to get them married to only twin sisters. But one of the brothers falls in love with a woman does not have a twin sister.,https://m.media-amazon.com/images/M/MV5BYjc3ODhlZGMtZmFhOS00NGEwLWI4ZWEtZDhlZjg5MWYxZDBjXkEyXkFqcGc@._V1_SX300.jpg
Grown Ups,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",6.0,"302,341",,30.0,"English, Spanish","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_SX300.jpg
Dark Skies,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",6.3,"82,827",,50.0,English,"As the Barrett family's peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them, one which may have arrived from beyond the stars.",https://m.media-amazon.com/images/M/MV5BMTcxNDE1OTgyOF5BMl5BanBnXkFtZTcwMTEyMzMxOQ@@._V1_SX300.jpg
Paranoia,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",5.6,"39,664",,32.0,English,"An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price: he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.",https://m.media-amazon.com/images/M/MV5BMTUyNjYwMTYwM15BMl5BanBnXkFtZTcwNDA4NTc2OQ@@._V1_SX300.jpg
Ankahi Kahaniya,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}]",5.6,"1,047",,,Hindi,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",https://m.media-amazon.com/images/M/MV5BODM4NTJkYzAtZTc2MS00NTVhLTk4ZDEtMGQ3NzUyOGY3MDk2XkEyXkFqcGc@._V1_SX300.jpg
Chicago Party Aunt,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",5.7,"2,408",,,English,"Follows Diane Dunbrowski who is always the life of the party, and also known as the ""Chicago Party Aunt"".",https://m.media-amazon.com/images/M/MV5BYzUyODk0YTQtZDliYy00NTI2LWJhMjEtZDJhM2M4MmZkNWY1XkEyXkFqcGc@._V1_SX300.jpg
Sex Education,[],,14,,,English,Go behind the scenes of the series Sex Education (2019).,https://m.media-amazon.com/images/M/MV5BNDlmNjQxNTUtMTQ4ZS00YjU1LTlhMzAtNjgxMGIzMzQ3ZTk4XkEyXkFqcGc@._V1_SX300.jpg
Squid Game,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",8.0,"714,157",,,"Korean, English, Urdu","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. A tempting prize awaits, but with deadly high stakes.",https://m.media-amazon.com/images/M/MV5BYTU3ZDVhNmMtMDVlNC00MDc0LTgwNDMtYWE5MTI2ZGI4YWIwXkEyXkFqcGc@._V1_SX300.jpg
Tayo and Little Wizards,[],,,,,"English, Korean",,https://m.media-amazon.com/images/M/MV5BZTliYTAyMzEtZDZjOC00ZDRlLTk0ZGUtMTkyYzIzZjlkZWE0XkEyXkFqcGc@._V1_SX300.jpg
The Father Who Moves Mountains,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",5.6,"4,290",,,Romanian,"Mircea, a retired intelligence officer, finds out that his son from has gone missing in the mountains. After days of searches, Mircea put his own rescue team together, leading to altercation with the local squad.",https://m.media-amazon.com/images/M/MV5BMDgxMGRhZDgtM2M4Yi00ZDFjLWI0ZGYtODI3MTU4MDYyNjJjXkEyXkFqcGc@._V1_SX300.jpg
The Stronghold,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,,,,Romanian,"Mircea, a retired intelligence officer, finds out that his son from has gone missing in the mountains. After days of searches, Mircea put his own rescue team together, leading to altercation with the local squad.",https://m.media-amazon.com/images/M/MV5BMDgxMGRhZDgtM2M4Yi00ZDFjLWI0ZGYtODI3MTU4MDYyNjJjXkEyXkFqcGc@._V1_SX300.jpg
Angry Birds,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",7.9,23,,,English,"After the birds had fallen out of their game, they entered our world where they must find a way back into their game before the bad piggies steal their eggs successfully!",https://m.media-amazon.com/images/M/MV5BMDhjMDFjOWQtZWEzMC00OTllLWIyMzYtYzgzZDZhZTViNTFhXkEyXkFqcGdeQXVyMjMxMTE0NTE@._V1_SX300.jpg
Birth of the Dragon,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",,,,,English,"After the birds had fallen out of their game, they entered our world where they must find a way back into their game before the bad piggies steal their eggs successfully!",https://m.media-amazon.com/images/M/MV5BMDhjMDFjOWQtZWEzMC00OTllLWIyMzYtYzgzZDZhZTViNTFhXkEyXkFqcGdeQXVyMjMxMTE0NTE@._V1_SX300.jpg
Chhota Bheem,[],,22,,,Hindi,"Krishna meets Chhota Bheem and his friends and plays with them. However, when Kali Charan appears and expresses his intention to take over the world, Chhota Bheem and Krishna team up to stop him.",https://m.media-amazon.com/images/M/MV5BOWQ3M2NkOTQtN2IxMS00MDZjLTk2NWUtYzE3MzFlNTYxNTMxXkEyXkFqcGc@._V1_SX300.jpg
He-Man and the Masters of the Universe,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",5.9,"2,324",,,English,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",https://m.media-amazon.com/images/M/MV5BZWQ3MGMzOTQtOGE3Ny00ODQ4LTgyZjUtODJiYzAyNDgwMThkXkEyXkFqcGc@._V1_SX300.jpg
Jaws,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",8.1,"712,722",,87.0,English,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",https://m.media-amazon.com/images/M/MV5BYjViNDQzNmUtYzkxZi00NTk5LTljMmItYjJlZmZkODIxNjU1XkEyXkFqcGc@._V1_SX300.jpg
Jaws 2,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",5.8,"89,780",,51.0,English,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,https://m.media-amazon.com/images/M/MV5BMzAxN2Q5Y2UtMDBkZS00MGQwLWIyZDEtYTgyNGRlZmZiNjI2XkEyXkFqcGc@._V1_SX300.jpg
Jaws 3,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",3.7,"51,305",,27.0,English,A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.,https://m.media-amazon.com/images/M/MV5BYmY3YWZiMTAtZGYyYy00ODc3LTk5NjQtY2RhN2QwNzE2ZGI3XkEyXkFqcGc@._V1_SX300.jpg
Jaws: The Revenge,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '2%'}, {'Source': 'Metacritic', 'Value': '15/100'}]",3.0,"51,517",,15.0,English,Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,https://m.media-amazon.com/images/M/MV5BZGFiOTU1MTctMTRkMy00ZmVkLTk5YTktODMxZDhlOGQyN2MwXkEyXkFqcGc@._V1_SX300.jpg
My Heroes Were Cowboys,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",6.8,398,,,English,"Robin Wiltshire, an immigrant inspired by the iconography of the Hollywood western, finds meaning and redemption through the art of horse training.",https://m.media-amazon.com/images/M/MV5BZDMyNmFkMjItYzI3OC00OTQ1LWFhYzMtODIwZTA1MTFhOGYwXkEyXkFqcGc@._V1_SX300.jpg
Safe House,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",6.7,"245,397",,52.0,"English, Afrikaans","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.",https://m.media-amazon.com/images/M/MV5BMjI5ODkyMjA2Nl5BMl5BanBnXkFtZTcwNTcyNTgzNw@@._V1_SX300.jpg
The Smart Money Woman,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,147,,,English,"Meet Zuri. She's living a fabulous life. Great car, gorgeous apartment, well paid job. Meet Zuri. Broken down car, an apartment she cant afford, a job she's about to lose. What's a broke girl to do. With her best friends Tami (the...",https://m.media-amazon.com/images/M/MV5BN2FjYzA3MWQtYTk0My00ZjliLTg3MjYtNWM1MGYyZjg5MzJlXkEyXkFqcGc@._V1_SX300.jpg
Training Day,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",7.8,"502,102",,71.0,"English, Russian, Spanish, Korean, Greek",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,https://m.media-amazon.com/images/M/MV5BMjRlNjUwOGYtNGQxZS00ZjhkLTg0NDgtYjcwNzZlNDU2YjBlXkEyXkFqcGc@._V1_SX300.jpg
Castle and Castle,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",,,,71.0,"English, Russian, Spanish, Korean, Greek",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,https://m.media-amazon.com/images/M/MV5BMjRlNjUwOGYtNGQxZS00ZjhkLTg0NDgtYjcwNzZlNDU2YjBlXkEyXkFqcGc@._V1_SX300.jpg
Dharmakshetra,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",8.5,426,,,Hindi,"After the Mahabharata war, Pandavas and Kauravas face Chitragupta's court to answer for their actions. Each episode features a character answering questions on behalf of others.",https://m.media-amazon.com/images/M/MV5BODQ1ODAyZWMtNmY0Ni00ZDVkLTgxZGUtODJiNDUxNTQ5ZTQzXkEyXkFqcGc@._V1_SX300.jpg
InuYasha the Movie 2: The Castle Beyond the Looking Glass,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",7.3,"2,402",,,"Japanese, English","After seemingly defeating their common enemy, Naraku, what appears to be the near-end of their journey instead leads Inuyasha and Kagome facing against a new threat.",https://m.media-amazon.com/images/M/MV5BMWM0MjhkMWMtMzhmYS00NmI3LWI2NWQtNjVlMjVhNTVjZjc4XkEyXkFqcGc@._V1_SX300.jpg
InuYasha the Movie 3: Swords of an Honorable Ruler,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",7.6,"2,472",,,Japanese,"After 700 years the sword Sounga, who belonged to the Great Dog Demon, is unleashed, tearing a rift in the barrier between the underworld and the earth and stirring the restless souls.",https://m.media-amazon.com/images/M/MV5BMzI3Mzk1Mjg5OV5BMl5BanBnXkFtZTcwNzMzNjAzMQ@@._V1_SX300.jpg
InuYasha the Movie 4: Fire on the Mystic Island,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",7.2,"2,058",,,Japanese,The past catches up with the world of Inuyasha and Kagome's present in a form they could never have anticipated.,https://m.media-amazon.com/images/M/MV5BMTIwOTEwODQ2Nl5BMl5BanBnXkFtZTcwMTkzODQzMQ@@._V1_SX300.jpg
InuYasha the Movie: Affections Touching Across Time,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",7.2,"2,950",,,Japanese,"During their journey, Inuyasha, Kagome and their party are attacked by Menoumaru, a monster who is looking for Tessaiga, Inuyasha's sword, to an unknown end.",https://m.media-amazon.com/images/M/MV5BMTQ1MTI3MzA0Ml5BMl5BanBnXkFtZTcwOTY3MTcyMQ@@._V1_SX300.jpg
Nailed It,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,,,,Japanese,"During their journey, Inuyasha, Kagome and their party are attacked by Menoumaru, a monster who is looking for Tessaiga, Inuyasha's sword, to an unknown end.",https://m.media-amazon.com/images/M/MV5BMTQ1MTI3MzA0Ml5BMl5BanBnXkFtZTcwOTY3MTcyMQ@@._V1_SX300.jpg
Naruto Shippuden the Movie: Blood Prison,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,"6,406",,,Japanese,Naruto Uzumaki is framed and sent to an inescapable prison where he must escape by any means necessary.,https://m.media-amazon.com/images/M/MV5BZTgwZDkyODktYjk0My00NTVhLWIxMmQtMGY4ODYzMTlhYmE5XkEyXkFqcGc@._V1_SX300.jpg
Naruto Shippûden the Movie: Bonds,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",6.8,"5,911",,,Japanese,"Sky ninja attack Konoha seeking revenge, as Konoha nearly destroyed their Sky Country in the last Shinobi World War, though they survived.",https://m.media-amazon.com/images/M/MV5BNTE2ODAyNTkxNl5BMl5BanBnXkFtZTgwNTAzMjA2MDE@._V1_SX300.jpg
Naruto Shippûden the Movie: The Will of Fire,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,,,,Japanese,"Sky ninja attack Konoha seeking revenge, as Konoha nearly destroyed their Sky Country in the last Shinobi World War, though they survived.",https://m.media-amazon.com/images/M/MV5BNTE2ODAyNTkxNl5BMl5BanBnXkFtZTgwNTAzMjA2MDE@._V1_SX300.jpg
Naruto Shippuden: The Movie,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,"5,249",,,Japanese,"A powerful spirit that once threatened to destroy the world is back! Naruto's mission is to protect a priestess named Shion, who is the only one with the power to seal away the monster.",https://m.media-amazon.com/images/M/MV5BMjNiOWU3ODQtNDE4Zi00M2FlLWFjMjYtZDA0NGZiZTc3Yjc2XkEyXkFqcGc@._V1_SX300.jpg
Naruto Shippuden: The Movie: The Lost Tower,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,,,,Japanese,"A powerful spirit that once threatened to destroy the world is back! Naruto's mission is to protect a priestess named Shion, who is the only one with the power to seal away the monster.",https://m.media-amazon.com/images/M/MV5BMjNiOWU3ODQtNDE4Zi00M2FlLWFjMjYtZDA0NGZiZTc3Yjc2XkEyXkFqcGc@._V1_SX300.jpg
Naruto the Movie 2: Legend of the Stone of Gelel,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",6.4,"5,551",,,Japanese,"Naruto, Shikamaru and Sakura are on a mission to deliver a lost pet to a village when a mysterious knight appear to confront them.",https://m.media-amazon.com/images/M/MV5BMDk5N2Y2ZGUtZGY5YS00YjgyLWEzOGItMjgwZWJjYmJiZmViXkEyXkFqcGc@._V1_SX300.jpg
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",6.3,"5,194",,,Japanese,"Naruto, Kakashi, Sakura, and Rock Lee are assigned to protect Michiru, the prince of the Land of the Moon, while he travel the world. The prince purchased a tiger Sham and the whole circus, which became the team's protection.",https://m.media-amazon.com/images/M/MV5BNDkzNTAxMjAtMGI0Ni00M2E4LWI0YTgtNTkzMGVhYjAwYTBhXkEyXkFqcGc@._V1_SX300.jpg
Naruto the Movie: Ninja Clash in the Land of Snow,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",6.6,"8,892",,,Japanese,Naruto and his team are hired to protect a young actress from three rogue warriors in the Land of the Snow.,https://m.media-amazon.com/images/M/MV5BYzZiNmI3MWYtYzA4YS00YjE4LWFhMzQtYzQ3MTE2MTcyOGM1XkEyXkFqcGc@._V1_SX300.jpg
